id,title,all_artists,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,speechiness
6K4t31amVTZDgR3sKmwUJJ,The Less I Know The Better,Tame Impala,2015-07-17,0.64,0.74,4,-4.083,1,0.0115,0.00678,0.167,0.785,116.879,216320,4,0.0284
5xC8uOesnn0udeXAYlAnoY,Alright,Supergrass,1995-05-15,0.467,0.958,4,-4.808,0,0.000479,0.199,0.299,0.701,145.92,180880,4,0.0775
2Yer0p7uB2lVBUAtANuuQp,Magic In The Hamptons (feat. Lil Yachty),Lil Yachty,2018-06-08,0.769,0.479,1,-5.339,1,0.66,0.0,0.0914,0.803,96.051,164640,4,0.0385
4iCKHGl4ij4YMwFrUZLGEQ,Kill The Lights (with Nile Rodgers) - Audien Remix,Audien,2016-04-15,0.647,0.879,7,-0.93,1,0.0837,1.98e-06,0.538,0.427,126.042,224762,4,0.0831
6zeeWid2sgw4lap2jV61PZ,Better,Khalid,2018-10-18,0.596,0.552,0,-10.278,0,0.0765,0.334,0.104,0.112,97.949,229320,4,0.097
2iUXsYOEPhVqEBwsqP70rE,Youngblood,5 Seconds of Summer,2018-06-15,0.596,0.854,7,-5.114,0,0.0169,0.0,0.124,0.152,120.274,203418,4,0.463
0GO8y8jQk1PkHzS31d699N,Tongue Tied,Grouplove,2011-09-02,0.56,0.936,3,-5.835,1,0.00847,0.0,0.161,0.371,112.96,218013,4,0.0439
2NVmDh5UzdBxzuCYEKqvaT,Weekend - Lexxmatiq Remix,Lexxmatiq,2016-09-02,0.495,0.801,7,-4.017,1,0.191,0.000336,0.212,0.5,84.865,183540,4,0.275
7M3HuQRRAm1QD4kftmq0bb,Amour plastique,Videoclub,2018-09-08,0.7,0.354,6,-14.043,0,0.765,0.00158,0.128,0.245,119.965,227027,4,0.0345
7lozLnUfzcgEpMMVQI7yhA,Why,Bazzi,2018-04-12,0.676,0.67,8,-6.584,1,0.353,0.0,0.103,0.54,113.01,148260,4,0.0374
2MIXhD9W7WL1Txd4Z7bU49,Party People,Vince Staples,2017-06-23,0.541,0.563,11,-6.75,1,0.00195,0.111,0.193,0.105,115.297,178507,4,0.0737
0FknXlaOeXD7Vto1Hx9wtP,Caskets,FKi 1st,2017-06-09,0.635,0.862,5,-4.655,0,0.00318,1.36e-06,0.195,0.402,102.024,184116,4,0.0819
6TaqooOXAEcijL6G1AWS2K,All My Friends (feat. Tinashe & Chance the Rapper),Chance the Rapper,2015-10-21,0.681,0.521,0,-5.849,1,0.12,8.41e-05,0.108,0.181,94.997,229747,4,0.141
7rdUtXasA973gmrr2Xxh3E,"Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX",SZA,2017-09-14,0.781,0.548,0,-4.997,0,0.229,0.0,0.127,0.175,106.996,214255,4,0.0764
1Cv1YLb4q0RzL6pybtaMLo,Sunday Best,Surfaces,2019-01-06,0.878,0.525,5,-6.832,1,0.183,0.0,0.0714,0.694,112.022,158571,4,0.0578
1F6IbA7di42uPc3cff8PXV,Flaming Hot Cheetos,Clairo,2017-06-14,0.817,0.551,7,-9.33,0,0.865,0.000151,0.101,0.142,109.966,123884,4,0.133
2mCF8L0brIs88eH6Kf2h9p,Fast Car,Dakota,2015-12-04,0.644,0.57,9,-6.994,1,0.484,0.0,0.299,0.527,113.945,212424,4,0.052
0KyAGiNGUytG5JLxJu4F6l,Pretty Girl,Clairo,2017-08-04,0.93,0.611,0,-4.406,1,0.593,0.00124,0.0592,0.695,112.127,178352,4,0.0415
6TEiFwaiHERpdfG6WnGed1,New Flesh,Current Joys,2013-01-02,0.62,0.594,9,-16.066,1,0.887,0.5,0.0917,0.698,165.861,167987,4,0.0383
2GiJYvgVaD2HtM8GqD9EgQ,Electric Love,BØRNS,2015-10-16,0.611,0.797,6,-7.627,0,0.00543,0.00137,0.26,0.518,120.041,218107,4,0.0533
0KYVxbgqJ3jLvBadFt4V97,Lautturi,PMMP,2009-03-12,0.654,0.622,9,-5.111,0,0.579,0.0162,0.208,0.477,115.05,244973,4,0.025
